"col1","col2","col3","col4","col5","col6","col7","col8"
"02700-2025","09/17/2025 11:57 AM","09-16-2025","Criminal Tampering","Coral Towers Residence Hall","Washington Square","A campus safety officer reported Criminal Tampering.","Closed/Referred to Office of Student Conduct & Community Standards"
"02698-2025","09/17/2025 1:18 AM","09/17/2025 11:00 PM - 09/17/2025 11:20 PM","Larceny","Carlyle Court Residence Hall","Washington Square","A student reported a Larceny.","Open"
"2025-2536","09/18/2025 2:03 AM","09/17/2025 9:00 PM - 09/18/2025 1:00 AM","Larceny","University Residence Hall","Washington Square","A student reported a Larceny.","Open"
"2025-2535","09/17/2025 5:31 PM","09/17/2025 5:05 PM - 09/17/2025 5:05 PM","Harassment","Washington Square Park","Washington Square","A student reported Harassment.","Open"
"2025-2530","09/17/2025 1:38 PM","09/19/2025 2:00 PM - 09/17/2025 2:00 PM","Larceny","Washington Square Park","Washington Square","A student reported a Larceny.","Closed/Referred to NYPD"
"2025-2527","09/17/2025 12:28 PM","09-17-2025 - 09/17/2025 11:56 AM","Larceny","Third North Residence Hall","Washington Square","A student reported a Larceny.","Open"
"2025-2517","09/16/2025 5:21 PM","09/12/2025 10:30 PM - 09/12/2025 10:55 PM","Simple Assault","Washington Square Park","Washington Square","A student reported a Simple Assault.","Closed/Referred to NYPD"
"2025-2516","09/16/2025 3:44 PM","09/16/2025 2:00 PM - 09/16/2025 3:10 PM","Larceny","Rogers Hall","Brooklyn Commons","A student reported a Larceny.","Open"
"2025-2515","09/16/2025 2:21 PM","09/16/2025 2:20 PM - 09/16/2025 2:22 PM","Falsely Reporting an Incident","Wagner Building","Washington Square","A campus safety officer reported a Falsely Reported Incident.","Closed/Referred to NYPD"
"2025-2513","09/16/2025 1:33 PM","09/16/2025 1:00 PM - 09-16-2025","Harassment","Schwartz Hall","Kips Bay","A staff member reported Harassment.","Open"
"2025-2511","09/16/2025 12:23 PM","09/16/2025 11:45 AM - 09/16/2025 11:49 AM","Harassment","Washington Square Park","Washington Square","A non-NYU affiliate reported Harassment.","Open"
"2025-2510","09/16/2025 12:27 PM","09/05/2025 4:00 PM - 09/15/2025 5:00 PM","Larceny","14A Washington Mews","Washington Square","A staff member reported a Larceny.","Open"
"2025-2497","09/15/2025 6:03 PM","09/15/2025 2:25 PM - 09-15-2025","Larceny","West 3rd & Mercer Street","Washington Square","A student reported a Larceny.","Closed/Referred to NYPD"
"2025-2490","09/15/2025 3:53 PM","09/15/2025 3:52 PM - 09/15/2025 3:56 PM","Falsely Reporting an Incident","105 East 17th Street","Washington Square","A campus safety officer reported a Falsely Reported Incident.","Closed/Referred to NYPD"
"2025-2488","09/15/2025 2:00 PM","09-13-2025","Harassment","West 3rd Street & LaGuardia Place","Washington Square","A student reported Harassment.","Open"
"2025-2485","09/15/2025 11:19 AM","09/13/2025 5:48 PM - 09/15/2025 10:47 AM","Harassment","East Building","Washington Square","A staff member reported Harassment.","Open"
"02652-2025","09/14/2025 10:35 PM","09/14/2025 10:25 PM - 09/14/2025","Criminal Mischief","Carlyle Court Residence Hall","Washington Square","A student reported Criminal Mischief.","Open"
"02639-2025","09/14/2025 1:46 AM","09/13/2025 11:10 PM - 09/13/2025","Liquor Law Violation","Rubin Residence Hall","Washington Square","A student reported a Liquor Law Violation. x15","Closed/Referred to Office of Student Conduct & Community Standards"
