col1,col2,col3,col4,col5,col6,col7,col8,sort_date
2025-2083,08-04-2025 5:15 pm,08-04-2025 4:00 pm - 08-04-2025 4:30 pm,Motor Vehicle Theft,Weissman Hall (exterior),Kips Bay & Langone (Public property only),A dental patient reported the theft of an e-scooter.,Open,2025-08-04
2025-2077,08-04-2025 6:09 am,08-04-2025 6:09 am,Criminal Mischief,Gould Plaza,Washington Square,A Campus Safety Officer reported graffiti.,Open,2025-08-04
2025-2085,08/05/2025 3:04 PM,08/05/2025 10:00 AM - 08/05/2025 3:00 PM,Larceny,Warren Weaver - Exterior,Washington Square,An affilate reported a Larceny.,Open,2025-08-05
2025-2090,08/06/2025 12:20 PM,08/06/2025 12:20 PM - 08/06/2025 1:26 PM,Criminal Trespass,3 Washington Square Village,Washington Square,A staff member reported a Criminal Trespass.,Closed/ Referred to NYPD,2025-08-06
2025-2092,08/06/2025 6:27 PM,08/06/2025 6:27 PM - 08/06/2025 6:59 PM,Criminal Mischief,Gould Plaza,Washington Square,A campus safety officer reported Criminal Mischief.,Closed/ Referred to NYPD,2025-08-06
02161-2025,08/06/2025 7:41 AM,08/06/2025 2:05 AM - 08/06/2025,Harassment,Othmer Residence Hall,Brooklyn Commons,A student reported Harassment.,Open,2025-08-06
2025-2102,08/07/2025 6:46 PM,08/07/2025 6:40 PM - 08-07-2025,Falsely Reporting an Incident,Carlyle Court Residence Hall,Washington Square,A staff member reported a Falsely Reported Incident.,Open,2025-08-07
2025-2096,08/07/2025 11:17 AM,06-01-2025 - 08/07/2025 11:17 AM,Harassment,Pless Hall,Washington Square,A staff member reported Harassment.,Open,2025-08-07
2025-2104,08/08/2025 12:19 AM,08/08/2025 12:09 AM - 08/08/2025 1:23 AM,Criminal Mischief,Gould Plaza,Washington Square,A campus safety officer reported Criminal Mischief.,Closed/ Referred to NYPD,2025-08-08
2025-2107,08/08/2025 9:05 AM,08/08/2025 9:05 AM - 08/08/2025 9:20 AM,Disorderly Conduct,Weissman Hall,Kips Bay,A staff member reported Disorderly Conduct.,Open,2025-08-08
2025-2109,08/09/2025 2:58 AM,08/09/2025 2:58 AM,Criminal Mischief,7 Washington Pl,Washington Square,A Campus Safety Officer reported graffiti.,Closed/ Referred to NYPD,2025-08-09
2025-2110,08/09/2025 5:49 AM,08/09/2025 5:49 AM,Criminal Mischief,19 University Place,Washington Square,A Campus Safety Officer reported graffiti.,Closed/ Referred to NYPD,2025-08-09
