raw_building,raw_area,canonical_building,glb_name,include,notes,sort_key
Gramercy Green,Washington Square,Gramercy Green,GRAMERCY_GREEN_RESIDENCE_HALL,yes,,gramercy green
Gramercy Green Residence Hall,Washington Square,Gramercy Green Residence Hall,GRAMERCY_GREEN_RESIDENCE_HALL,yes,,gramercy green residence hall
Hayden Hall,Washington Square,Hayden Hall,240_MERCER_STREET,yes,,hayden hall
Hayden Hall - Exterior,Washington Square,Hayden Hall - Exterior,240_MERCER_STREET,yes,,hayden hall exterior
Hayden Residence Hall,Washington Square,Hayden Residence Hall,LIPTION_HALL,yes,,hayden residence hall
Hayden Residence Hall - Call Box,Washington Square,Hayden Residence Hall - Call Box,LIPTION_HALL,yes,,hayden residence hall call box
Kaufman Management Center,Washington Square,Kaufman Management Center,STERN_TISCH_HALL,yes,,kaufman management center
Kaufman Management Center - Exterior,Washington Square,Kaufman Management Center - Exterior,STERN_TISCH_HALL,yes,,kaufman management center exterior
Kimmel Center,Washington Square,Kimmel Center,LESLIE-KIMMEL-SKIRBALL-CENTER,yes,,kimmel center
King Juan Carlos Center,Washington Square,King Juan Carlos Center,KING_JUAN_CARLOS,yes,,king juan carlos center
Lafayette Hall,Washington Square,Lafayette Hall,LAFAYETTE_HALL,yes,,lafayette hall
Lafayette Residence Hall,Washington Square,Lafayette Residence Hall,LAFAYETTE_HALL,yes,,lafayette residence hall
LaGuardia Place and Bleecker Street,Washington Square,LaGuardia Place and Bleecker Street,WASHINGTON_SQUARE_VILLAGE,yes,,laguardia place and bleecker street
Leslie E-Lab,Washington Square,Leslie E-Lab,14_WASHINGTON_PLACE,yes,,leslie e lab
Lipton Hall,Washington Square,Lipton Hall,LIPTION_HALL,yes,,lipton hall
Lipton Hall - Exterior,Washington Square,Lipton Hall - Exterior,LIPTION_HALL,yes,,lipton hall exterior
Lipton Residence Hall,Washington Square,Lipton Residence Hall,LIPTION_HALL,yes,,lipton residence hall
Lipton Residence Hall - Exterior,Washington Square,Lipton Residence Hall - Exterior,LIPTION_HALL,yes,,lipton residence hall exterior
Mercer Street & Bleecker Street,Washington Square,Mercer Street & Bleecker Street,PAULSON_CENTER,yes,,mercer street bleecker street
Meyer Hall,Washington Square,Meyer Hall,MEYER_HALL,yes,,meyer hall
Othmer Hall,Brooklyn Commons,Othmer Hall,OTHMER_HALL,yes,,othmer hall
Othmer Hall - Exterior,Washington Square,Othmer Hall - Exterior,OTHMER_HALL,yes,,othmer hall exterior
Palladium Hall,Washington Square,Palladium Hall,PALLADIUM_RESIDENCE_HALL,yes,,palladium hall
Palladium Residence Hall,Washington Square,Palladium Residence Hall,PALLADIUM_RESIDENCE_HALL,yes,,palladium residence hall
Palladium Residence Hall - Exterior,Washington Square,Palladium Residence Hall - Exterior,PALLADIUM_RESIDENCE_HALL,yes,,palladium residence hall exterior
