"col1","col2","col3","col4","col5","col6","col7","col8"
"2024-3612","12/18/24 03:00 PM","12/09/24 10:20 AM - 12/09/24 10:21 AM","Larceny","Silver Building","Washington Square","A student reported missing property.","Open"
"2024-3610","12/18/24 12:10 AM","12/18/24 12:10 AM - 12/18/24 01:50 AM","Bomb Threat/ Falsely Reporting an Incident","Bobst Library","Washington Square","An NYU-affiliate reported a Bomb Threat/ Falsely Reporting an Incident.","Open"
"2024-3609","12/17/24 09:36 PM","12/17/24 09:36 PM - 12/30/99 10:03 PM","Criminal Mischief","Lafayette Residence Hall","Washington Square","A student reported property damage.","Closed"
"2024-3603","12/17/24 01:35 PM","12/17/24 12:00 AM","Harassment","Fairchild Hall","Washington Square","A staff member reported Harassment.","Open"
"VIC2024-014","12/15/24 03:38 PM","12/08/24 08:38 PM","Simple Assault","Intersection of Bleeker Street and Mercer Street","Washington Square","NYPD reported a simple assault.","Closed/ Referred to NYPD"
"04070-2024","12/13/24 03:00 PM","12/09/24 03:00 AM","Aggravated Assault","Third North Residence Hall","Washington Square","A student reported an Aggravated Assault.","Closed/ Referred to Title IX"
"2024-3595","12/16/24 07:40 PM","12/16/24 04:45 PM - 12/16/24 08:00 PM","Harassment","370 Jay Street","Brooklyn Commons","A student reported Harassment.","Closed"
"2024-3593","12/16/24 03:35 PM","12/16/24 12:00 AM - 12/16/24 08:00 AM","Larceny","Othmer Residence Hall","Brooklyn Commons","A student reported missing property.","Open"
"2024-3586","12/16/24 10:02 AM","12/13/24 09:18 AM - 12/13/24 06:14 PM","Harassment","383 Lafayette Street","Washington Square","A staff member reported an Electronic Harassment.","Closed/ Referred to NYPD"
"2024-3577","12/13/24 07:18 PM","12/13/24 07:11 PM","Harassment","Bobst Library","Washington Square","A student reported Harassment.","Closed"
"2024-3573","12/13/24 03:14 PM","12/13/24 01:41 PM - 12/13/24 01:42 PM","Harassment","Palladium Residence Hall","Washington Square","A student reported Harassment.","Closed"
"2024-3569","12/13/24 08:15 AM","12/13/24 08:15 AM - 12/13/24 09:32 AM","Bomb Threat / Falsely Reporting an Incident","383 Lafayette Street","Washington Square","A staff member reported a Bomb Threat / Falsely Reporting an Incident.","Closed/ Referred to NYPD"
