"col1","col2","col3","col4","col5","col6","col7","col8"
"2025-1916","07-14-2025 12:40 PM","07-14-2025 12:40 PM - 07-14-2025 12:50 PM","Loitering","Weinstein Hall","Washington Square","A Campus Safety Officer reported Loitering.","Closed"
"01851-2025","07-11-2025 2:40 PM","07-09-2025","Harassment","Founders Hall","Washington Square","A student reported Harassment.","Closed/ Referred to Office of Student Conduct & Community Standards"
"2025-1914","07-14-2025 8:40 AM","06-30-2025 12:31 PM - 07-11-2025 10:17 AM","Harassment","Zurich Hall","Washington Square","A staff member reported Harassment.","Closed"
"2025-1910","07-13-2025 8:57 PM","07-13-2025 11:30 AM - 07-13-2025","Harassment","726 Broadway","Washington Square","A student reported Harassment.","Closed"
"2025-1906","07-13-2025 7:10 AM","07-12-2025 6:40 AM - 07-12-2025 11:10 PM","Criminal Mischief","10 Washington Place - Exterior","Washington Square","A Campus Safety Officer reported property damage","Closed/. Referred to NYPD"
"2025-1905","07-13-2025 2:16 AM","07-13-2025 2:16 AM - 07-13-2025 2:32 AM","Harassment","Schwartz Plaza","Washington Square","A staff member reported Harassment.","Closed/ Referred to NYPD"
"2025-1901","07-11-2025 11:48 PM","07-11-2025 11:48 PM","Criminal Mischief","Gould Plaza","Washington Square","A Campus Safety Officer reported graffiti.","Closed/ Referred to NYPD"
"2025-1894","07-11-2025 8:28 AM","07-11-2025 8:28 AM","Larceny","Starbucks - 45 West 4th Street","Washington Square","A staff member reported stolen property.","Open"
"01847-2025","07-11-2025 10:27 AM","07-11-2025 9:38 AM","Harassment","Coral Tower Residence Hall","Washington Square","A staff member reported Harassment.","Closed"
"2025-1890","07-10-2025 4:00 PM","07-10-2025 - 07-10-2025 3:45 PM","Larceny","Shimkin Hall","Washington Square","A student reported missing property.","Open"
