"col1","col2","col3","col4","col5","col6","col7","col8"
"2025-2279","08-30-2025 7:44 AM","08-30-2025","Robbery / Aggravated Assault / Motor Vehicle Theft","Washington Square Park","Washington Square","A non-NYU community member reported an Aggravated Assault, Motor Vehicle Theft, and Robbery.","Closed/ Referred to NYPD"
"2025-2277","08-30-2025 3:47 PM","08-29-2025 3:00 PM","Larceny","LaGuardia Place and Bleecker Street","Washington Square","A student reported stolen property.","Closed/ Referred to NYPD"
"2025-2273","08-29-2025 1:15 PM","08-29-2025 1:15 PM - 08-29-2025 1:25 PM","Disorderly Conduct","Schwartz Hall","Kips Bay","A staff member reported Disorderly Conduct.","Open"
"02343-2025","08-28-2025 11:14 PM","08-28-2025 10:00 PM","Liquor Law Violation (x10)","Rubin Hall","Washington Square","An RA reported underage alcohol possession.","Closed/ Referred to Office of Student Conduct & Community Standards"
"2025-2269","08-29-2025 2:18 AM","08-29-2025 2:00 AM","Simple Assault / Dating Violence","Carlyle Court","Washington Square","A student reported Dating Violence involving a Simple Assault.","Closed/ Referred to NYPD"
"2025-2268","08-29-2025 2:22 AM","08-22-2025 1:30 AM - 08-29-2025 2:12 PM","Harassment","Carlyle Court","Washington Square","A student reported Harassment.","Closed/ Referred to NYPD"
"2025-2267","08-29-2025 12:08 AM","08-29-2025 12:08 AM","Criminal Mischief","Silver Center - Exterior","Washington Square","A Campus Safety Officer reported graffiti.","Closed/ Referred to NYPD"
"2025-2266","08-28-2025 11:31 PM","08-28-2025 6:44 PM - 08-28-2025 9:00 PM","Larceny","Weinstein Hall","Washington Square","A student reported missing property.","Open"
"2025-2263","08-28-2025 9:00 PM","08-28-2025 4:40 PM","Harassment","University Place and East 8th Street","Washington Square","A student report Harassment.","Open"
"2025-2259","08-28-2025 3:26 PM","08-28-2025 3:15 PM","Harassment","Washington Square Village","Washington Square","A student reported Harassment.","Open"
"2025-2254","08-28-2025 9:24 AM","08-28-2025 9:11 AM - 08-28-2025 9:24 AM","Simple Assault","West 4th Street and Broadway","Washington Square","An employee reported a Simple Assault.","Closed/ Referred to NYPD"
"2025-2243","08-27-2025 2:50 PM","08-27-2025 2:45 PM 08-27-2025 2:50 PM","Larceny / Harassment","726 Broadway","Washington Square","A student reported an attempted Larceny and Harassment.","Open"
"2025-2242","08-27-2025 2:50 PM","08-27-2025 2:50 PM - 08-27-2025 2:56 PM","Falsely Reporting an Incident","105 East 17th Street","Washington Square","The NYPD reported a falsely reported incident.","Closed/ Referred to NYPD"
"02306-2025","08-26-2025 4:59 PM","08-24-2025 11:00 AM","Larceny","Third North Residence Hall","Washington Square","An RA reported stolen property.","Open"
"02300-2025","08-26-2025 12:14 PM","08-23-2025 7:30 PM - 08-23-2025 9:30 PM","Liquor Law Violation","Rubin Hall","Washington Square","An RA reported underage alcohol possession.","Closed/ Referred to Office of Student Conduct & Community Standards"
"2025-2239","08-26-2025 9:10 PM","08-26-2025 9:10 PM - 08-26-2025 9:35 PM","Bomb Threat / Falsely Reporting an Incident","Shimkin Hall","Washington Square","An NYU-affiliate reported a Bomb Threat/Falsely Reporting an Incident.","Closed/ Referred to NYPD"
"2025-2234","08-26-2025 11:50 AM","08-26-2025 11:50 AM - 08-26-2025 11:55 AM","Public Lewdness","Palladium Hall","Washington Square","A Campus Safety Officer reported Public Lewdness.","Open"
"02289-2025","08-25-2025 11:47 PM","08-25-2025 9:15 PM - 08-25-2025 9:39 PM","Liquor Law Violation (x19)","Founders Hall","Washington Square","An RA reported underage possession of alcohol.","Closed/ Referred to Office of Student Conduct & Community Standards"
"02276-2025","08-25-2025 12:29 AM","08-25-2025 12:39 AM - 08-25-2025 12:35 AM","Liquor Law Violation (x12)","University Hall","Washington Square","An RA reported underage drinking.","Closed/ Referred to Office of Student Conduct & Community Standards"
"2025-2222","08-25-2025 3:14 PM","08-24-2025 10:00 AM - 08-25-2025 10:00 AM","Harassment","Furman Hall","Washington Square","A student report Harassment.","Open"
"2025-2219","08-25-2025 12:56 PM","08-23-2025 11:00 PM - 08-24-2025 11:00 PM","Motor Vehicle Theft","Othmer Hall - Exterior","Washington Square","A student reported a stolen electronic bike.","Closed/ Referred to NYPD"
"2025-2232","08-26-2025 5:36 AM","08-26-2025 5:30 AM 08-26-2025 5:45 AM","Harassment","Schwartz Plaza","Washington Square","A student reported Harassment.","Open"
"2025-2216","08-25-2025 8:48 AM","08-25-2025 8:20 AM","Harassment","Schwartz Plaza","Washington Square","A non-NYU affiliate reported Harassment.","Closed"
"2025-2212","08-24-2025 9:20 PM","08-24-2025 9:20 PM - 08-24-2025 9:45 PM","Falsely Reporting an Incident","Bobst Library","Washington Square","The NYPD reported a falsely reported incident.","Closed/ Referred to NYPD"
"2025-2203","08-23-2025 8:55 PM","08-23-2025 8:55 PM 08-23-2025 9:18 PM","Falsely Reporting an Incident","Bobst Library","Washington Square","The NYPD reported a falsely reported incident.","Closed/ Referred to NYPD"
"2025-2185","08-22-2025 11:35 AM","08-22-2025 11:35 AM 08-22-2025 11:40 AM","Falsely Reporting an Incident","Bobst Library","Washington Square","The NYPD reported a falsely reported incident.","Closed/ Referred to NYPD"
"2025-2183","08-21-2025 11:27 AM","08-21-2025 11:27 AM - 08-21-2025 11:40 AM","Falsely Reporting an Incident","Bobst Library","Washington Square","The NYPD reported a falsely reported incident.","Closed/ Referred to NYPD"
"2025-2149","08-16-2025 12:40 PM","08-16-2025 12:40 PM - 08-16-2025 12:41 PM","Falsely Reporting an Incident","370 Jay Street","Brooklyn Commons","The NYPD reported a falsely reported incident.","Closed/ Referred to NYPD"
"2025-2210","08-23-2025 5:00 PM","08-23-2025 4:50 PM","Larceny","Washington Square Park","Washington Square","A student reported missing property.","Closed/ Referred to NYPD"
"2025-2209","08-24-2025 2:10 PM","08-24-2025 2:08 PM","Larceny","Third North Hall","Washington Square","A student reported missing property.","Open"
"2025-2202","08-23-2025 4:41 PM","08-23-2025 4:10 PM - 08-23-2025 4:20 PM","Harassment","Bobst Library - Exterior","Washington Square","A Security Officer reported Harassment.","Open"
"2025-2198","08-23-2025 2:23 PM","08-23-2025 2:23 PM","Criminal Mischief","14 Washington Place - Exterior","Washington Square","A staff member reported property damage.","Closed/ Referred to NYPD"
"2025-2188","08-22-2025 9:32 PM","08-22-2025 9:30 PM - 08-22-2025 9:32 PM","Harassment","Hayden Hall - Exterior","Washington Square","A Security Officer reported Harassment.","Open"
"02245-2025","08-21-2025 10:19 AM","08-20-2025 8:30 PM - 08-20-2025","Harassment","Forbes","Washington Square","A staff member reported Harassment.","Open"
